label,message
ham,Hey how are you?
ham,Are we meeting today?
spam,Congratulations! You won a free prize!
ham,Can you send me the notes?
spam,Claim your free reward now!
ham,Please call me when you reach home
spam,URGENT! You have won a cash prize!
ham,What time is the class tomorrow?
spam,Win a free iPhone now!
ham,Can you help me with the assignment?
spam,Congratulations you have been selected for a reward!
ham,Are you coming to college today?
spam,Click here to claim your free money!
ham,Please send me the project file
spam,You are the lucky winner of a free gift!
ham,Let's meet at 5 PM
spam,Exclusive offer! Get your free voucher now!
ham,Did you complete the homework?
spam,You won a lottery! Claim your prize today!
ham,I will call you later
spam,Free entry in our special competition!
ham,Can you share today's notes?
spam,Act now and get your free reward!
ham,See you tomorrow
spam,Congratulations! Claim your cash reward immediately!
ham,What are you doing?
spam,You have won a brand new phone!
ham,Please bring your laptop tomorrow
spam,Limited time offer! Win amazing prizes!
ham,Can you send the assignment?
spam,Get your free gift by clicking now!
ham,I am going to college
spam,You are selected for a special prize!
ham,Let's meet after class
spam,Claim your free coupon before it expires!
ham,How was your exam?
spam,You have won a free vacation!
ham,Please call me
spam,Win cash instantly! Claim now!
ham,Are you free today?
spam,Congratulations! You are our lucky winner!
