label,message,cleaned_message
ham,Hey how are you?,hey how are you
ham,Are we meeting today?,are we meeting today
spam,Congratulations! You won a free prize!,congratulations you won a free prize
ham,Can you send me the notes?,can you send me the notes
spam,Claim your free reward now!,claim your free reward now
ham,Please call me when you reach home,please call me when you reach home
spam,URGENT! You have won a cash prize!,urgent you have won a cash prize
ham,What time is the class tomorrow?,what time is the class tomorrow
spam,Win a free iPhone now!,win a free iphone now
ham,Can you help me with the assignment?,can you help me with the assignment
spam,Congratulations you have been selected for a reward!,congratulations you have been selected for a reward
ham,Are you coming to college today?,are you coming to college today
spam,Click here to claim your free money!,click here to claim your free money
ham,Please send me the project file,please send me the project file
spam,You are the lucky winner of a free gift!,you are the lucky winner of a free gift
ham,Let's meet at 5 PM,lets meet at pm
spam,Exclusive offer! Get your free voucher now!,exclusive offer get your free voucher now
ham,Did you complete the homework?,did you complete the homework
spam,You won a lottery! Claim your prize today!,you won a lottery claim your prize today
ham,I will call you later,i will call you later
spam,Free entry in our special competition!,free entry in our special competition
ham,Can you share today's notes?,can you share todays notes
spam,Act now and get your free reward!,act now and get your free reward
ham,See you tomorrow,see you tomorrow
spam,Congratulations! Claim your cash reward immediately!,congratulations claim your cash reward immediately
ham,What are you doing?,what are you doing
spam,You have won a brand new phone!,you have won a brand new phone
ham,Please bring your laptop tomorrow,please bring your laptop tomorrow
spam,Limited time offer! Win amazing prizes!,limited time offer win amazing prizes
ham,Can you send the assignment?,can you send the assignment
spam,Get your free gift by clicking now!,get your free gift by clicking now
ham,I am going to college,i am going to college
spam,You are selected for a special prize!,you are selected for a special prize
ham,Let's meet after class,lets meet after class
spam,Claim your free coupon before it expires!,claim your free coupon before it expires
ham,How was your exam?,how was your exam
spam,You have won a free vacation!,you have won a free vacation
ham,Please call me,please call me
spam,Win cash instantly! Claim now!,win cash instantly claim now
ham,Are you free today?,are you free today
spam,Congratulations! You are our lucky winner!,congratulations you are our lucky winner
